,OriginalPrice,SalePrice,Discount,Ratings,Comments,Media,Brand,QtySold,Favourites,link,SubCat1,SubCat2,SubCat3,Content,LogQtySold,NORPercent
1170,42.9,38.5,10,5.0,2,1,La Roche-Posay,7,2,https://shopee.sg/La-Roche-Posay-Toleriane-Ultra-Eye-Contour-20Ml-i.195238920.4979838471?sp_atk=51a81a56-c8d5-4f3b-bf53-082adb1f9051,Beauty & Personal Care,Skincare,Serum & Treatment,827.0,1.9459101490553132,0.2857142857142857
1171,15.9,14.2,11,5.0,1,1,CANMAKE,9,7,https://shopee.sg/CANMAKE-Creamy-Touch-Eyeliner-03-i.195238920.9850965233?sp_atk=22301688-14a7-4595-971e-bebae6b38b32,Beauty & Personal Care,Makeup,Eye,209.0,2.1972245773362196,0.3333333333333333
1172,28.5,28.5,0,5.0,1,1,Cationorm,6,3,https://shopee.sg/Cationorm-Eye-Drops-Emulsion-(For-Treatment-of-Dry-Eye-Symptoms)-0.4ml-x-30s-i.195238920.9412183909?sp_atk=cda88cda-97a4-409c-86ad-ae0197e4b151,Health & Wellness,OTC Medications,"Eye, Nose, Throat Care",748.0,1.791759469228055,0.5
1173,48.0,45.6,5,5.0,2,2,AHC,6,5,https://shopee.sg/Ahc-Premium-Ex-Hydra-B5-Soother-(Moisturizing-Prevents-Transepidermal-Water-Loss)-30Ml-i.195238920.4979771142?sp_atk=4e46c1bc-d2df-4201-a771-4528b856c4c0,Beauty & Personal Care,Skincare,Serum & Treatment,2081.0,1.791759469228055,0.5
1174,4.9,4.9,0,5.0,3,3,GATSBY,8,3,https://shopee.sg/Gatsby-Moving-Lock-Spray-Mini-Extra-Hard-45g-i.195238920.4821349914?sp_atk=034ed008-d565-4e8d-8354-109df7265049,Beauty & Personal Care,Women's Hair Care,Styling,1055.0,2.0794415416798357,0.375
1175,8.95,8.95,0,5.0,2,2,Himalaya,7,4,https://shopee.sg/Himalaya-Protein-Shampoo-Repair-And-Regenerate-400Ml-i.195238920.10601547172?sp_atk=44a6452b-37d5-4658-bb2c-3a3897063f92,Beauty & Personal Care,Women's Hair Care,Shampoo,516.0,1.9459101490553132,0.42857142857142855
1176,15.8,15.8,0,5.0,1,1,Biore,7,5,https://shopee.sg/Biore-Uv-Bright-Face-Milk-Spf-50-Pa--i.195238920.8917226984?sp_atk=7421b2b7-997c-44e2-b30f-f1df76651a41,Beauty & Personal Care,Skincare,Sun Care,1049.0,1.9459101490553132,0.42857142857142855
1177,19.9,18.8,6,5.0,2,1,Liese,6,5,https://shopee.sg/LIESE-Creamy-Bubble-Color-Milk-Tea-Brown-1-Box-i.195238920.7787524889?sp_atk=81537bce-f4a4-407a-bb84-cb8ab84a35af,Beauty & Personal Care,Women's Hair Care,Hair Color,1255.0,1.791759469228055,0.5
1178,29.9,29.9,0,5.0,3,2,VICHY,5,3,https://shopee.sg/Vichy-Thermal-Spa-Water-300ml-Twinpack-i.195238920.7378305624?sp_atk=bbe86903-a353-49a0-9181-3fa41388f2f9,Beauty & Personal Care,Skincare,Toners & Mists,443.0,1.6094379124341003,0.6
1179,99.0,89.1,10,5.0,1,0,ATORREGE AD+,6,8,https://shopee.sg/Atorrege-Ad-C5-Ex-Brightening-Essence-18Ml-i.195238920.4979771580?sp_atk=ca68eb17-faaa-4fb3-a710-bba1b9c066e1,Beauty & Personal Care,Skincare,Serum & Treatment,1451.0,1.791759469228055,0.5
1180,24.9,22.3,10,5.0,0,0,VITABIOTICS,17,1,https://shopee.sg/Vitabiotics-Wellkid-Multi-Vitamin-Liquid-Swiss-Alpine-Malt-Natural-Orange-Flavour-(For-4-to-12yrs-old)-150ml-i.195238920.8612086780?sp_atk=ecea1586-bb16-488e-8e2f-a06752145eee,Food & Beverages,Food Staples,Baking,1027.0,2.833213344056216,0.058823529411764705
1181,6.9,6.1,12,5.0,3,3,Sawaday,7,3,https://shopee.sg/Sawaday-Mos-Bye-Mosquito-Repellent-Air-Freshener-(Chamomile)-275ml-i.195238920.9917631034?sp_atk=a42bdf04-ca5a-4a0d-9ebf-d65838652a89,Home & Living,Housekeeping,Pesticide,670.0,1.9459101490553132,0.5714285714285714
1182,7.9,7.9,0,4.3,4,3,senka,21,9,https://shopee.sg/SENKA-Senka-Perfect-Whip-Acne-Care-100g-i.195238920.7079829261?sp_atk=975cf514-4fff-48be-80c5-b6299a3f5337,Beauty & Personal Care,Skincare,Serum & Treatment,1619.0,3.044522437723423,0.2857142857142857
1183,24.9,24.9,0,5.0,1,1,Centrum,16,0,https://shopee.sg/Centrum-Mutlivitamin-Mineral-Chewable-Tablets-For-Kids-60s-i.195238920.7779916962?sp_atk=0078feae-8677-47fa-8b78-4d7c0b44c320,Health & Wellness,Food Nutrition,Others,506.0,2.772588722239781,0.0625
1184,32.0,28.8,10,5.0,0,0,Neutrogena,14,1,https://shopee.sg/NEUTROGENA-Hydro-Boost-Mask-5s-i.195238920.9517255789?sp_atk=68e95362-d3e5-4e59-bfbd-4a7b35fac783,Beauty & Personal Care,Skincare,Mask,733.0,2.6390573296152584,0.07142857142857142
1185,7.9,5.5,30,5.0,0,0,smith&nephew,11,2,https://shopee.sg/SMITH-NEPHEW-Opsite-Post-Op-Clear-Adhesvie-Waterproof-Dressing-6.5cm-X-5cm-X-5pcs-i.195238920.12831634493?sp_atk=1716f1a2-34ae-4bab-8ff3-cb47cdacde22,Health & Wellness,Medical Supplies,First Aid Supplies,662.0,2.3978952727983707,0.18181818181818182
